id	lat	lon	title	description	icon	iconSize	iconOffset
2004	47.5761	19.0604	Karácsonyi Kis Jézus templom	<h4 style="margin-top:-20px">(Rómaifürdői templom)</h4><p><a href="http://miserend.hu/?templom=2004" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2005	47.6015	19.0444	Szent József-templom	<h4 style="margin-top:-20px">(Békásmegyer-Ófalui templom)</h4><p><a href="http://miserend.hu/?templom=2005" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2006	46.8094	18.9265	Szent Ilona templom	<h4 style="margin-top:-20px">(Öregtemplom)</h4><p><a href="http://miserend.hu/?templom=2006" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2007	46.067	18.1844	Szent Kereszt felmagasztalása templom	<h4 style="margin-top:-20px">(Rácvárosi templom)</h4><p><a href="http://miserend.hu/?templom=2007" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2008	46.8075	18.9266	Szent Anna-templom	<h4 style="margin-top:-20px">(Barátok temploma)</h4><p><a href="http://miserend.hu/?templom=2008" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2009	47.5845	19.0485	Jézus Szíve templom	<h4 style="margin-top:-20px">(Csillaghegyi templom)</h4><p><a href="http://miserend.hu/?templom=2009" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2010	46.08	18.1868	Nagyboldogasszony templom	<h4 style="margin-top:-20px">(Magyarürögi templom)</h4><p><a href="http://miserend.hu/?templom=2010" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2011	47.5561	19.0453	Szentháromság-templom	<h4 style="margin-top:-20px">(Óbuda Vörösvári úti templom)</h4><p><a href="http://miserend.hu/?templom=2011" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2012	46.0761	18.2072	Jézus Szíve-templom	<h4 style="margin-top:-20px">(Pius templom)</h4><p><a href="http://miserend.hu/?templom=2012" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2013	47.5704	18.9907	Szeplőtelen Szűz Mária-kápolna	<h4 style="margin-top:-20px">(Csúcshegyi kápolna)</h4><p><a href="http://miserend.hu/?templom=2013" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2014	47.3911	16.5425	Rózsafüzér Királynője templom	<h4 style="margin-top:-20px">(Zárdatemplom)</h4><p><a href="http://miserend.hu/?templom=2014" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2015	47.5546	19.02	Szent Donát kápolna	<h4 style="margin-top:-20px">(Farkastoroki Szent Donát kápolna)</h4><p><a href="http://miserend.hu/?templom=2015" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2016	47.7088	18.5883	Szent Kereszt-templom	<h4 style="margin-top:-20px">(Péliföldszentkereszti Szent Kereszt-templom)</h4><p><a href="http://miserend.hu/?templom=2016" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
3584	46.7212	25.5855	Kisboldogasszony templom	<h4 style="margin-top:-20px">(Gheorgheni)</h4><p><a href="http://miserend.hu/?templom=3584" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-red.png	24,24	-12,-24
2017	46.0793	18.2353	Szent Ágoston-templom	<h4 style="margin-top:-20px">(Ágoston téri templom)</h4><p><a href="http://miserend.hu/?templom=2017" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2018	47.7843	18.8755	Szent Lőrinc Templom	<h4 style="margin-top:-20px">(Pilismarót)</h4><p><a href="http://miserend.hu/?templom=2018" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2019	47.8374	22.6836	Szentháromság-templom	<h4 style="margin-top:-20px">(Csenger)</h4><p><a href="http://miserend.hu/?templom=2019" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2020	47.2214	17.606	Szentháromság templom	<h4 style="margin-top:-20px">(Bakonyjákó)</h4><p><a href="http://miserend.hu/?templom=2020" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2021	47.5343	19.0324	Szent Vér kápolna	<h4 style="margin-top:-20px">(Kiscelli kálvária kápolna)</h4><p><a href="http://miserend.hu/?templom=2021" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
